Comparison,Jaccard,Cosine
1 vs 2,0.649,0.834
1 vs 3,0.646,0.833
1 vs 4,0.653,0.843
1 vs 5,0.623,0.81
1 vs 6,0.588,0.794
1 vs 7,0.62,0.817
1 vs 8,0.719,0.873
1 vs 9,0.681,0.849
1 vs 10,0.559,0.771
