Comparison,Jaccard,Cosine
1 vs 2,0.581,0.793
1 vs 3,0.583,0.814
1 vs 4,0.525,0.752
1 vs 5,0.488,0.772
1 vs 6,0.552,0.783
1 vs 7,0.504,0.789
1 vs 8,0.555,0.8
1 vs 9,0.609,0.823
1 vs 10,0.484,0.782
